index,id,title,bucket,rule
108,"iR7HB5LdonQ","White-throated Kingfisher perched and preening on tree branch",subject,"species/subject term: Kingfisher"
110,"6erMdNx1Pv4","Krishna Janmashtami kirtan with Jagannath altar and Tulsi mandap",festival,"festival term: Janmashtami"
112,"g_vUubsnaqY","Historic houseboats and the Amstel River lead to Amsterdam's famous skinny bridge",gap-2b,"non-India term: Amsterdam"
241,"kjyrUiyGudQ","Sir Vivian Richards Stadium surrounded by Antigua's tropical landscape",gap-2b,"non-India term: Antigua"
278,"iYhHqLugJwE","Passengers boarding a metro train at an underground station in Lausanne, Switzerland",gap-2b,"non-India term: Switzerland"
463,"zO8IYz0NmME","Collared Pygmy Owlet scans its surroundings from a Himalayan forest perch: World's smallest owl!",region,"region term: Himalayan"
476,"sqJ3qYPytc0","Bipasha Basu on Omkara and the art of bringing books to cinema",reject,"bollywood name: Basu"
584,"DbgHCV5mC_4","Newborn Quail chicks huddling together under a heat lamp",subject,"species/subject term: Quail"
647,"IwL18AjLHpc","Striated Heron hunting in a wetland habitat in Bharatpur India",gap-2a,"candidate place token: Bharatpur"
793,"Aa0s8jGE3X8","Pilgrims gather for holy dip at Gangasagar Mela shoreline",festival,"festival term: Gangasagar"
851,"tjilMs6C8qA","Rufous-bellied Woodpecker eats insects on a mossy tree trunk in the Himalaya",region,"region term: Himalaya"
922,"tIpV5x3rHgw","Raj N. Sippy ne bataya Anil Kapoor ka over the top style kyu kaam karta hai !",reject,"bollywood name: Kapoor"
938,"LZ_I1a1m2VU","A single Sunflower bloom on a terraced hillside with a sapphire butterfly",subject,"species/subject term: Butterfly"
960,"NPdSuu-0ZxQ","Cattle Egret perched on a tree against a clear blue sky",subject,"species/subject term: Egret"
970,"kkN5iMbaHkA","Sameer Anjaan talks about film No Entry",reject,"bollywood name: Anjaan"
1018,"6-PG-WatDGo","Suchitra Krishnamoorthi and Mita Vashisht run for Sathi NGO cause",reject,"bollywood name: Krishnamoorthi"
1095,"jG5ov4QGDrQ","Rosary pea seed pods opening to reveal red and black seeds",subject,"no proper-noun token present"
1199,"XwOaq5Mrur8","Pankaj Berry on Bhabhi role Jagdish Uppal ""Serial ki feel alag hai, characters real lagte hain""",reject,"bollywood name: Berry"
1241,"CG2OonNmrV8","Rajat Bedi on the film 'Monopoly the Game of Money': ""Mere liye yeh role bilkul naya experience tha""",reject,"bollywood name: Bedi"
1267,"ZkJ-pclZBV8","Ali Asgar ne bataya film aur TV ka farq aur impact",reject,"bollywood name: Asgar"
1334,"PSytpLQIgxY","Pied Myna or Sturnus contra: Asian Pied Starling preening on tree branch with fruits",gap-2a,"candidate place token: Asian"
1377,"x1nXVHp43eA","Nasturtium is an edible and commonly grown garden flower: even the leaves can be eaten in sandwiches",subject,"no proper-noun token present"
1389,"dK2oLHSgKLQ","Bollywood News by Shweta Kawatra | Models Turned Actors & Milind Soman Interview",reject,"bollywood name: Soman"
1394,"TDRr5z78xnI","Mango trees across India are explosively flowering with 'bor', in this warm spring-summer weather",ambiguous,"no rule fired"
1458,"bfH7inEmgZA","Grey Wagtail foraging on a small wetland while wagging tail",subject,"species/subject term: Wagtail"
1498,"gUkPwn3Zlk0","Adhyayan Suman on Haal-e-Dil ""Meri pehli film hai, ya sab bahut jaldi hogaya mera life mai""",reject,"bollywood name: Suman"
1503,"GD3i4bPCPZw","Black-winged Stilt Bird in Wetlands | Elegant Long-Legged Wader in India",gap-2a,"candidate place token: Wetlands"
1566,"-uUtDstYRQs","A Small Tortoiseshell butterfly delicately perches on a cluster of pink Bergenia ciliata flowers",gap-2a,"candidate place token: Bergenia"
1572,"05dz1yTlAIg","Krackjack, Monaco and Parle G biscuits for sale in Dubai: Indian FMCG food products go international",gap-2b,"non-India term: Dubai"
1660,"3CEkr0fzXfw","Rajpal Yadav: ""I respect one scene as much as I would if I did ten scenes or played a main role""",reject,"bollywood name: Yadav"
1720,"XRs4zBz06nY","Karishma Makhni reflects on life, family and London experiences",reject,"bollywood name: Karishma"
1743,"PRREo-eyCzQ","Himalayan Stripe-throated Yuhina resting on berry branch",reject,"bollywood name: Berry"
1807,"O91MWBgGdZA","Blue-throated Barbet in the Himalayan forest emerging from nest, gathering tree wood dust with care",region,"region term: Himalayan"
1821,"KZHyg7z8hRM","Close-up of Small Copper butterfly on flower",gap-2a,"candidate place token: Copper"
1894,"h7QuLCeQ0Ao","Brooding and egg-laying behaviour of Lohmann Brown chickens",ambiguous,"no rule fired"
2027,"0j0uGcHRq_s","Republic Day 2024 flag hoisting and guard march",festival,"festival term: Republic Day"
2028,"K4B8zMucytg","Time-lapse of blister beetle feeding in Himalayan foothills",region,"region term: Himalayan"
2121,"jV_XR8_ECi8","White-bellied Bushchat with prey | A moment of wild feeding",subject,"species/subject term: Bushchat"
2185,"I_ouNGDeruQ","Watch a black kite resting gracefully on a bare tree branch, surrounded by tall, green grass",subject,"species/subject term: Kite"
2269,"v9TBw90s7cM","Workers building a bridge in Kashmir, showing their daily struggles and dedication: old footage",region,"region term: Kashmir"
2284,"ViumB_CVUu8","Whistling Woods launches cape town campus with Bollywood stars",reject,"bollywood name: Woods"
2413,"gE7KyIpYTCY","A Common Tailorbird a small and Songbird widely found across South and Southeast Asia.",gap-2a,"candidate place token: Tailorbird"
2479,"9qgyWXU4X3g","Satish Kaushik shares insights on Milenge Milenge",reject,"bollywood name: Kaushik"
2501,"J6LY8jM90JE","Village life in green fields wooden huts and layered mountain views",subject,"no proper-noun token present"
2558,"-MZWc5pXBGU","A Young girl speaks while getting a Facial Massage in Kashmir",region,"region term: Kashmir"
2573,"VUhsKIEX0xg","A Man in Kashmiri Attire shares food with locals",region,"region term: Kashmiri"
2739,"wE_KNOS2cn0","Great Barbet in Heavy Rain on dense Tree",gap-2a,"candidate place token: Rain"
2768,"JEZl_y6zLoU","Close-up shot of a White-Throated Kingfisher perched, showcasing its vibrant colours and details.",subject,"species/subject term: Kingfisher"
2805,"nMoWcpQcAVU","Indian Birds & Reptile Moments – Stunning nature close-ups",gap-2a,"candidate place token: Reptile"
2854,"l8tcLcIAyUw","भारतीय महिलाओं ने जीता स्वर्ण! भारत में महिलाओं की 4x400 मीटर रिले दौड़: राष्ट्रमंडल खेल",subject,"no proper-noun token present"
2890,"9L4vOOxpF1k","A Cluster of Tree Dahlia plants dancing in natural breeze in motidhar",gap-2a,"candidate place token: Tree"
2919,"MU_nyJMfIFU","Nilgai Drinking at a Water Hole in the Wilderness of Jhalana",gap-2a,"candidate place token: Hole"
2951,"waIOm_CKVcM","Sea hawk resting on beachside beam looking across the sea",subject,"no proper-noun token present"
3191,"oZiJN-AQHHU","Birds and wildlife at Royal Botanic Gardens | England travel video",gap-2b,"non-India term: England"
3246,"Zlm-Sjn5PW8","Archival Footage of Kashmir streets with shops closed during Elections",region,"region term: Kashmir"
3411,"l1ojAVxEMHM","आयुर्वेद में विभिन्न मानवीय रोगों के उपचार में गाय के दूध दही घी और मूत्र के महत्व का उल्लेख हैं।",subject,"no proper-noun token present"
3528,"KxvzE5P-0TE","Avtar Gill: I have seen Randhir Kapoor's film Aaj Or Kall and I like that film ver much",reject,"bollywood name: Kapoor"
3544,"C3Eq5pXTY1E","Geeta Basra: I would like to wear a heavy bridal outfit on my wedding, fun to watch bridal outfit",reject,"bollywood name: Basra"
3550,"N4gFOLKnk2I","भारतीय सेना के शक्तिमान और अशोक लेलैंड ट्रकों का काफिला सिक्किम में भारत-चीन सीमा की ओर बढ़ा",subject,"no proper-noun token present"
3654,"sx9d8OJgx_g","1980 के दशक के बॉम्बे में कपूर परिवार के साथ बॉलीवुड सेलिब्रिटी पार्टी में जीनत अमान, डिंपल कपाड़िया",subject,"no proper-noun token present"
3803,"ccuGVFFQwok","Neeta Lulla: Aishwarya is not only a dear friend she is a pillar of support through lot of my films",reject,"bollywood name: Aishwarya"
3844,"-BmTpAIQiM4","Sniffer dog searches for abandoned Russian land mines with handler in Afghanistan, mine is detonated",gap-2b,"non-India term: Afghanistan"
3944,"XMc5UTJLAvs","बॉलीवुड अभिनेत्री शर्मिला टैगोर ने अपने शुरुआती दिनों के बारे में बताया",subject,"no proper-noun token present"
3949,"2Kxp3OYGC0k","Dharmendra: If I had considered acting as a profession, perhaps I would have been more successful.",reject,"bollywood name: Dharmendra"
3989,"zlLJCcdV1bg","Green-backed Tit and Oriental White Eye birds come to our garden tap for a summer-time drink",gap-2a,"candidate place token: Eye"
4017,"YIOy5aYG0i0","Anuradha Paudwal: Gulshan ji was a great devotee of Vaishno ma and Shiv Ji",reject,"bollywood name: Gulshan"
4040,"6h6JnAKIMgk","Mukul Dev: I am looking for Nikhil & Shantnu's collection, at chivas fashion show",reject,"bollywood name: Nikhil"
4071,"xHEWP-gCNEQ","माधुरी दीक्षित मराठी भाषा में बोलती और गाती हैं, हल्के नीले रंग की  वाली साड़ी पहनती हैं",subject,"no proper-noun token present"
4247,"JM9l7tF2fKA","Amaan and Ayaan Ali: Fashion is all about being passionate music is all about being passionate",reject,"bollywood name: Ayaan"
4257,"WMCFeVCmhTo","भारतीय पार्श्व गायक अभिजीत भट्टाचार्य ने अपने करियर के बारे में बात की",subject,"no proper-noun token present"
4289,"UUt6tHwvREA","Greylag Geese witness the Yamuna clean-up and wonder why it was not done decades sooner!",region,"region term: Yamuna"
4319,"kNUASJLj6oU","Film set ""Unns: Love Forever"" on set location | Sanjay Kapoor and Juhi Babbar | Behind the Scene",reject,"bollywood name: Kapoor"
4335,"cMFt-ulvcEM","Making of 'Haath Se Haath Mila' show - Bollywood actors drive for AIDS awareness",reject,"format keyword: bollywood"
4414,"-jTlCyZ5gk0","Aditya Pancholi and Akshay Kumar at a wrestler event as guest",reject,"bollywood name: Pancholi"
4435,"PyZt2mMl4Ng","Aishwarya Rai: ""I'm not a soloist. I'm all about family, coming together""",reject,"bollywood name: Rai"
4510,"1XGADZEftdA","गंगा जमुना सरस्वती हिंदी फिल्म: अमिताभ बच्चन और जया प्रदा की शादी का सीन शूट हो रहा है",subject,"no proper-noun token present"
4633,"0bVHk4bn3UQ","United States Capitol building along National Mall in Washington DC in brilliant fall-winter colours",gap-2b,"non-India term: Washington"
4782,"imSc3AFWlWE","Models bejewelled in Orra Diamond Jewellery poses for camera",reject,"bollywood name: Models"
4794,"-nJ1ODxvKI8","Emraan Hashmi showing off his Sunglass Collection | Early 2000s Fashion",reject,"bollywood name: Hashmi"
4903,"H_Si0ihoh_w","Tesla Cybertruck at Gold Souk in Dubai: Quite the non-destructable vehicle that it purports to be",gap-2b,"non-India term: Dubai"
4953,"G3jpJxS_TdI","Speed Boats enter Abu Dhabi Marina in the UAE, bright spanking new sky-scrapers reflect Gulf waters",gap-2b,"non-India term: Abu Dhabi"
4998,"j1M1Iaq2_A8","'I am a shy girl, and my weakest point is not knowing how to say No'- Amrita Rao",reject,"bollywood name: Amrita"
