index,id,zone,extracted_place,verdict,reason,title
"228","2t3DlfwSevQ","hashtag","Delhi","CORRECT","","Ministry of Home Affairs CAPFs tableau at Delhi Republic Day Parade"
"940","k6bMfDu0zfI","hashtag","Uttarkashi","CORRECT","","Follow these trekkers through deep Himalayan snow"
"1610","aB0niK0DB3s","prose","Badrinath","ERROR","Text describes Rudraprayag (a different, specific confluence town); Badrinath is never mentioned","Sacred Rudraprayag Sangam in the Garhwal Himalayas of Uttarakhand"
"1872","rYllrzra4zw","hashtag","Manipur","CORRECT","","Sadu Chiru or Leimaram Waterfall cascades through dense forests in Manipur"
"2223","dDnVXQ8iqk8","hashtag","Leh","CORRECT","","Street view of Leh market with Ladakhi and Tibetan handicrafts"
"3041","Uup2b-pGY9g","title","Delhi","CORRECT","","Making pind with sand for Chhath Puja at the banks of the Yamuna River in New Delhi"
"3052","VfYWiiQVtrI","title","Odisha","CORRECT","","Odisha State Maritime Museum exhibits at Jobra, Cuttack"
"3669","HBeqmw5-rfs","title","Ranthambore","CORRECT","","Ranthambore National Park: Padam Talao reflecting history, forts, and aravalli hills’ majesty"
"4435","0h-cGoi65qE","title","Surajkund","CORRECT","","Surajkund Craft Mela shines with the vibrant folk dance of North India"
"4607","wmltteC4CKU","title","Delhi","CORRECT","","Experience the Odisha culture handicrafts & traditional clothes at Odisha Parba, New Delhi 2023"
"5224","r8ucT4a04mI","hashtag","Mussoorie","CORRECT","","Snow storm hits Mussoorie, turning the landscape white, dumping down a foot deep snowpack mid-winter"
"5561","BY0uiJn01PQ","hashtag","Rajasthan","CORRECT","","The Sathis Deori Temple is a complex of twenty-seven Jain temples within the Chittorgarh Fort"
"5990","tgr9M7CGgZ0","hashtag","Coimbatore","ERROR","Content is explicitly Bengaluru-Mysuru Expressway, Karnataka; no Coimbatore/Tamil Nadu connection","Underpass Construction South Indian Highway : Indian road building takes place at a frenetic pace"
"6588","yHUNyb2y8i0","prose","Jabbarkhet","CORRECT","","Drippy ferns on deodar and Oak trees in the Himalayan monsoon season at wildfilmsindia forests"
"7161","THgQwEszTAw","title","Assam","CORRECT","","Rainy Odyssey: Boating through flooded village alleys in Assam's endless downpour"
"8153","mN5O7lXMcB0","title","Jabbarkhet","CORRECT","","Indian Commodore butterfly at wildfilmsindia Jabbarkhet gardens in September 2023"
"10274","BOfKUgFq44s","prose","Delhi","CORRECT","","HP petrol pump in Yusuf Sarai, all lit up like petrol and diesel prices! Evergreen Service Station"
"10381","SuQrHoabQe4","title","Jabbarkhet","CORRECT","","Clouds race past blue sky, as Himalayan mountain moods play out at wildfilmsindia Jabbarkhet estate"
"10667","3JjkmIz62Dc","hashtag","Nashik","CORRECT","","Amrita Rao and director Sooraj Barjatya at ""Vivah' film promotional event, Cinemax, Nasik"
"11027","nR3L0q5-jJk","title","Meerut","CORRECT","","Sardhana Church, North India's largest church, Meerut, Uttar Pradesh - Virtual tour"
"11714","zhNxCgcT-yM","playlist title","Khajuraho","CORRECT","","Breathtaking Kuchipudi Dance by Srividya Angara Sinha at Khajuraho Dance Festival"
"12126","-scOlPkpy-o","title","Gurugram","CORRECT","","BPO city Gurgaon call center employees roll in to work"
"12442","Vehyx_1duus","prose","Varanasi","ERROR","Banaras Hindu University is a biographical detail about the interviewee's degree, not the filming location (a Delhi-based TV studio)","Rajesh Joshi's poetry: a discussion with poet and linguist Namvar Singh"
"14560","mX2XixB4iKE","prose","Delhi","CORRECT","","Colin Powell, U.S. Secretary of State visits India in 2001"
"14842","smTE3_nvkEw","prose","Kolkata","CORRECT","","Working with Satyajit Ray : Soumitra Chatterjee"
"15853","zSS6j5DGLaM","prose","Delhi","CORRECT","","Introduction of weather information websites in India in olden days"
"16226","9hyQNP3H9aQ","prose","Indore","ERROR","Content is Chambal Valley (MP/Rajasthan border); Indore is never mentioned","Getting ready to rest : At Chambal Valleys"
"16524","H7ZuHfTMd1Y","prose","Visakhapatnam","ERROR","Content is explicitly ""Yamuna River, Delhi"" / ""New Delhi""; Visakhapatnam is wrong","Indian family celebrates Ganpati Visarjan on the ghats of Yamuna River, Delhi"
"16878","nfpO7HLe8s0","hashtag","Jharkhand","CORRECT","","Night Rituals of Chhath Puja with Sugarcane Offerings in Hazaribagh"
"17400","rb6AVlxGlnk","playlist title","Ahmedabad","CORRECT","","Nehru bridge and building near Sabarmati river Ahmedabad"
"17531","yh933pmKq6U","playlist title","Ahmedabad","CORRECT","","The House of MG and night time traffic in Ahmedabad, Gujarat: aerial view"
"17574","ixIBNohx880","playlist title","Bhuj","CORRECT","","Idols of various Hindu gods at Koteshwar Mahadev Temple, in Kutch"
"18031","R0hnoRAN6i0","playlist title","Delhi","CORRECT","","Jama Masjid, built during the reign of the Mughal emperor Shah Jahan"
"18232","De2fLMvSMW0","playlist title","Delhi","CORRECT","","Indian cultural panorama and hub stop at Dilli Haat"
"18606","gfg15S6eyRg","prose","Delhi","CORRECT","","Kandyan Dance of Sri Lanka"
"18972","yObRwZRkg6E","playlist title","Delhi","CORRECT","","Time lapse in pedestrian subway, Delhi"
"19179","RQRGLNPm1kY","playlist title","Delhi","CORRECT","","Desi wrestlers test their strength at a Kushti competition in Delhi"
"20011","wVLML-vRiZw","playlist title","Gangtok","CORRECT","","Shopping spots in Sikkim"
"21406","RFCQlsY5nxM","playlist title","Jaipur","CORRECT","","Jaipur - Hub of handicraft products"
"25604","N40AMxlF7I4","prose","Aizawl","CORRECT","","Taekwondo Fight League final, special dance"
"25649","oRmuXLT67RM","prose","Kolkata","CORRECT","","Legends of Indian Football: Pradip Kumar Banerjee, popularly known as PK"
"25773","L0e9a14aHUg","playlist title","Raipur","ERROR","""Kila Raipur"" is a village in Punjab (Rural Olympics); resolved to gazetteer Raipur, Chhattisgarh — different place, same word","Punjabi woman dance to drum beat at Kila Raipur"
"26623","Q93twhK4CHo","playlist title","Mumbai","CORRECT","","Marine drive Mumbai - Beautiful time lapse"
"26710","GPQZOqhsDLs","playlist title","Mumbai","CORRECT","","The festive celebration of Ganesh chaturthi"
"26718","ADZMQWrkceo","title","Visakhapatnam","CORRECT","","Indian Navy prepares for International Fleet Review in Visakhapatnam"
"27958","izOiKAJweew","prose","West Bengal","ERROR","""Bengali bride"" is an ethnicity descriptor, not a location; no state is confirmed in the text","Shy Bengali bride looks nervous yet stunning at her wedding"
"28049","LxXqVDZUStw","title","Delhi","CORRECT","","Designer wedding outfits for Indian brides : Wedding Asia, Delhi"
"28232","6_uDhgmJjos","prose","Delhi","CORRECT","","PBG officer blowing silver trumpet presented by President of India"
"28608","94vDteZ96DY","title","Manali","CORRECT","","Aerial journey of Manali town in Himachal Pradesh"
"28965","mEbF0uFqbCA","title","Delhi","CORRECT","","Indian Navy's musical band at Beating Retreat ceremony in Delhi"
"29737","IjJnpjvZCMM","playlist title","Mysuru","ERROR","Content is explicitly ""Vidhana Soudha - Bengaluru, Karnataka""; playlist name (Mysore/Mysuru) misdirected the match","Vidhana Soudha - Bengaluru, Karnataka"
"30168","oApnXo-NFoY","title","Allahabad","CORRECT","","Loh pat gami agnirath : An Indian Railways Train heads to Shringaverpur in Prayagraj, from Delhi"
"30900","-TSctMsC2YA","prose","Haryana","ERROR","Content is explicitly ""town of Alwar of Rajasthan""; Haryana is wrong","Crying baby bride and grooms in India"
"31273","pjUoj9L3MeI","prose","Jaipur","ERROR","Content is explicitly ""Cathedral Church of Redemption in Delhi""; Jaipur is wrong","Christianity in India: Cathedral Church of Redemption on Christmas day"
"31495","OSXyQ8aKfkA","title","Delhi","CORRECT","","Delhi witnesses a magical bubble show by Samsam Bubbleman"
"32379","BE4ZGSmkFzc","prose","Kohima","ERROR","Content is Yikhum village, Wokha District; Kohima is a different district in the same state","Back strap weaving a Lotha scarf or sarong in Yikhum village!"
"33055","mEvsMLy2rYw","prose","Madurai","ERROR","Only ""Tamil Nadu"" and festival names appear; Madurai is never mentioned","Man versus bull in India!"
"33423","NMg36TLUcBU","prose","Delhi","CORRECT","","Strangest friendship EVER! Dog carries monkey friend around for life!"
"34353","OxsG2ObdLQ4","prose","Kolkata","CORRECT","","Discotheque at Taj Hotel Bengal: old fashioned disco in India"
"35176","wlRlIcOWcHI","prose","Bengaluru","ERROR","Content is explicitly ""at IGNCA ground in Delhi""; playlist (NE India music) misdirected to Bengaluru","Purple Fusion from Nagaland live in Delhi"
"35409","mWpLendpeAc","prose","Leh","CORRECT","","Chang or the 'Beer' dance of Ladakh"
"35438","n6jf5Ka6kls","title","Assam","CORRECT","","Gumrag folk dance from Assam in North-east India - Mishing tribe"
"35698","hb0OAtWrRKc","prose","Karnataka","ERROR","No location beyond ""in India"" appears in the visible text","Mandal Commission in India: Indian college students hold protest and rally"
"36263","wrPTPXI2V70","prose","Kohima","CORRECT","","Rock band from Arunachal rocks at Hornbill Festival"
"36340","rEOFdsCFBSw","title","Delhi","CORRECT","","AAP members protest for full statehood status to Delhi"
"37102","b0np3xE1LP0","title","Srinagar","ERROR","Content is Uttarakhand floods; matched to Srinagar, J&K instead of the different town Srinagar, Uttarakhand — a same-name disambiguation failure","View of Srinagar after the Uttarakhand floods"
"38346","flw57XG7Mpg","title","Delhi","CORRECT","","Kabaddi players from Maharashtra team tries to catch opponents in New Delhi"
"39187","930TjXWpy9E","prose","Kohima","CORRECT","","Glamorous football fans cheer their team in Nagaland, India"
"39774","LwRGj6o2UF8","playlist title","Imphal","CORRECT","","Audio visual performance on ""Theme Song"" of Manipur Sangai Fest"
"40429","GhZEvXVdncQ","prose","Bengaluru","ERROR","Content is explicitly ""Kamani auditorium, New Delhi""; Bengaluru is wrong","Sufi group from Punjab performing at 4th International Sufi festival"
"40776","GUudwHPTwwo","playlist title","Delhi","CORRECT","","Real life 'Rush Hour' at Ring Road at sunset - Hundreds of vehicles squeeze each other in Covid time"
"41161","mNN0Zu6TbCU","prose","Jaipur","CORRECT","","Samode Palace: Heritage hotel of Rajasthan"
"41278","VNzAL7xxf1k","title","Delhi","CORRECT","","Is traffic congestion lower in South Delhi?"
"41376","PynOLBLtxJM","title","Delhi","CORRECT","","Sarojini Nagar market in New Delhi : listen to sale banter"
"41962","5iUJNZt8O20","prose","Leh","CORRECT","","Homestay in Ladakh - Oleh Village"
"42735","JeX006301B0","prose","Jodhpur","ERROR","Pokhran fort is in Jaisalmer district, not Jodhpur district","Royal Heritage of Rajasthan - Pokhran fort"
"43318","hymFgSljttg","prose","Delhi","CORRECT","","Eine Kleine Nachtmusik - entire performance"
"43865","Cnb57yxMess","prose","Gujarat","ERROR","Koovagam is in Tamil Nadu; Gujarat is wrong","Transvestites at the India's largest transgender carnival 'Koovagam'"
