index,id,zone,extracted_place,verdict,reason,title
"206","-rRgiXNPHS4","hashtag","Khichan","CORRECT","","Thousands of Demoiselle Cranes gather at Pakshi Chugga Ghar in Khichan, Rajasthan"
"852","kqqViX__8q0","title","Spiti","CORRECT","","Snow leopard camouflaged on snowy cliffs in Spiti Valley"
"1459","h9ZssvM-HQQ","title","Delhi","CORRECT","","An Indian Grey Hornbill resting calmly on a sunlit forest tree branch | Wilderness Orchard, Delhi"
"1697","OUeqdsld7rA","hashtag","Puri","CORRECT","","Funeral rites at Swargadwara cremation ground in Puri Odisha"
"2015","U8XYfIfq7m8","title","Silkyara","CORRECT","","Heavy trucks and machinery arrive at Silkyara Balkot Tunnel site in Uttarakhand, India"
"2756","0OqLVXK1Bp0","hashtag","Konark","CORRECT","","Konark Sun Temple and surrounding village landscape in Odisha"
"2766","dl0mNB3sYMI","prose","Corbett","CORRECT","","Dark Rainy Night with Lightning | Raindrops Visible in Thunderstorm along Kosi river in Kumaon"
"3325","kmfGPU-pRuE","hashtag","Jabbarkhet","CORRECT","","The Yellow-crowned Woodpecker captured in the semi-arid woodlands"
"4020","IxoV4jdvjMI","title","Delhi","CORRECT","","Peaceful winter fog scene from outskirts of Delhi"
"4175","YgMfbdbO6SU","title","Khichan","CORRECT","","Ducks Foraging in Khichan Wetland | Rajasthan Wildlife"
"4734","ENLLBUsxR9I","title","Delhi","CORRECT","","Yamuna River flooding Delhi | Expansive floodplains and waterlogged areas"
"5039","M-INfD3AZhw","hashtag","Pithoragarh","CORRECT","","Pithoragarh valley town and Naini–Saini Airport aerial view from Kumaon in Uttarakhand"
"5429","npdF6oVzyJs","hashtag","Udaipur","CORRECT","","Night view of Udaipur City and the palace from a rooftop cafe Udaipur Rajasthan"
"5971","RU-G1QBzBV0","hashtag","Tripura","ERROR","Republic Day tableau FROM Tripura, filmed at the Delhi parade — origin-vs-filming-location","Tableau from Tripura, Karnataka, Delhi, Dadra Nagar Haveli, Daman and Diu 76th Republic Day"
"6490","AWwBKi17fMs","hashtag","Uttarakhand","CORRECT","","Nepal border aerial view across the Sarayu - Kali rivers at Pancheshwar near Champawat Uttarakhand"
"7389","jEn0E9My9-k","title","Jabbarkhet","CORRECT","","Re-blooming winter-time Iris and Poppy flowers at wildfilmsindia Jabbarkhet botanical collection"
"9311","-DC9vPzW_Eo","title","Sikkim","CORRECT","","Foxgloves grow run wild and free, in Sikkim: Digitalis garden flowers explode on valley landscape!"
"9408","riDjwbkq5uI","title","Noida","CORRECT","","Greater Noida expressway runs alongside residential developments, farmlands and commercial hubs"
"9667","Maz5kpb0cOw","prose","Delhi","CORRECT","","India trounces Denmark: Crucial last 6 minutes in last set at Davis Cup in India"
"9993","gyLYiudgBfc","prose","Mumbai","CORRECT","","Sharmila Tagore at Jewellery Boutique, trying out Jewellery Items"
"10616","XYSqWUnIShs","playlist title","Meerut","CORRECT","","Meerut is a smart looking green-clean city: fabulous large bus stand seen from the air"
"10989","QD-4-7b4SAw","prose","West Bengal","CORRECT","","Howrah Cyclone Amphan - Houses crushed under uprooted trees, JCB Excavator clearance starts"
"11276","LXKw2ywCDVI","prose","Delhi","CORRECT","","Woman racer falls as she gets injured during a sprint race"
"13195","aSQkjr7mf_g","playlist title","Ayodhya","ERROR","Interview recalling Babri Masjid events; not footage shot in Ayodhya","Babri Masjid demolition in Dec 1992 | Home Minister Shankarrao Bhavrao Chavan remembers incident"
"13451","gMO43HFcnFo","title","Delhi","ERROR","""Delhi"" is a team name in a Mizoram v/s Delhi match, not the venue","Sub-Junior Boy's Single Tennis Match: Mizoram v/s Delhi -  Final"
"14367","LIuokVAUI0o","prose","Rishikesh","CORRECT","","Mahakali, an Odissi dance performance by Anita Babu and Group"
"14705","zXTj4cgIBlU","title","Delhi","CORRECT","","NCC National Games 2014, Delhi"
"14975","HY2UTzhbpX0","title","Delhi","CORRECT","","Polluted Yamuna river flowing in Delhi"
"15296","D90MMvFWt7Y","title","Delhi","CORRECT","","Delhi becomes a gas chamber : air pollution level increases"
"15769","swm4_oVpuRM","prose","Ayodhya","ERROR","Generic Ramlila description; no location evidence supports Ayodhya","Huge crowd gathered to see Ramlila"
"15888","rIEMw55uu_c","playlist title","Ahmedabad","CORRECT","","Sidi Saiyyed Mosque - Ahmedabad"
"15927","QlWCX8YGxYs","playlist title","Ahmedabad","CORRECT","","Worshipping women god idols at Gujarat's Jagannath temple in Ahmedabad"
"16341","cX2DcgCKcGQ","playlist title","Delhi","CORRECT","","Cheesy hindi movie posters at Regal cinema, Connaught place"
"16523","6kDRdHjFV0o","playlist title","Delhi","CORRECT","","Biryani sold during Bakra Eid near a market at Jama Masjid"
"16862","KDsNw_b5Gmw","playlist title","Delhi","CORRECT","","Select Citywalk on New Year's eve"
"17193","pgwz5Tl1WhE","playlist title","Delhi","CORRECT","","Opera classes conducted for Indian children at Neemrana Foundation"
"17381","Qtcd5pUx_h0","title","Kolkata","ERROR","Group is FROM Kolkata; performance is at Siri Fort auditorium, Delhi","Agape Boys from Kolkata perform at K Pop grand finale"
"18135","YNVtRPkuTvI","playlist title","Kolkata","CORRECT","","Tram ride:  Past glory of Kolkata"
"19399","5Q9Gsp-gZeM","playlist title","Mussoorie","CORRECT","","Mussoorie hill station as seen from above Dehra dun"
"23204","gW5_QhPHFMk","title","Himachal Pradesh","CORRECT","","Deodar forests above apple orchards in Himachal's apple belt of Theog and Kotgarh"
"23244","wAKZO0aYI3Q","title","Amarnath","CORRECT","","Sea of tents outside the Amarnath cave"
"23357","Ybm02vJBPL0","title","Amarnath","CORRECT","","Pilgrims riding ponies on the way to Amarnath Cave"
"24127","Td7pnGCqQnI","playlist title","Bengaluru","CORRECT","","German chancellor Angela Merkel and Narendra Modi in Bangalore"
"24206","3Owr2CRNyfA","playlist title","Bengaluru","CORRECT","","Global technology services - Infosys, Bangalore"
"24213","kpS6lAb2bv0","playlist title","Bengaluru","CORRECT","","Driving towards Bangalore city in Karnataka"
"25337","lSF81zwG5hQ","title","Kaziranga","CORRECT","","Asiatic Elephants grazing on lush vegetation at Kaziranga National Park"
"25420","g0xU-gnrh6U","prose","Kaziranga","CORRECT","","Indian elephant walking and raising its trunk"
"25586","OD2EwlEfmMs","title","Kaziranga","CORRECT","","Wild elephant with her calf and lush grassland in Kaziranga National Park"
"25926","b6i2zOT_oKM","prose","Uttarakhand","CORRECT","","Indian Garhwali wedding: Groom changes ride from mule to car to receive bride | Wedding traditions"
"26250","UqNhkDgohdE","title","Gurugram","CORRECT","","Aerial view of Gurgaon - city develops a personality of its own"
"26949","f6yXFcMzeR8","title","Delhi","CORRECT","","New learning process brought to the playground by HiWEL at Sheikh Sarai, New Delhi"
"27340","J8OkiAaq_vE","prose","Mizoram","CORRECT","","Silkworms feed on mulberry leaves, pre silk cocoon making"
"28003","j_OnlTtvJk8","title","Karnataka","CORRECT","","Riots and buses set on fire: Karnataka Bandh leads to violence in India"
"28341","JRFytS8v4FM","title","Kerala","ERROR","""Kerala long lappet"" is a goat breed descriptor, not a filming location","Goat poses and struts in front of camera - Domestic Kerala long lappet goat preps for social media"
"28543","srJTTOKfy5w","title","Uttarakhand","CORRECT","","Folk performance during Shaheed Kesari Chand Mela in Jaunsar, Uttarakhand"
"29343","wKzsnc3qW_o","playlist title","Alang","CORRECT","","Ship breaking yard of India - Alang in Gujarat"
"29956","8aunhwLhuNs","prose","Leh","CORRECT","","Interior of the Spituk monastery: Ladakh"
"30290","Y89mFlpOYvo","prose","Allahabad","CORRECT","","Sadhus eat bhandara on divine occasion of Maha Kumbh"
"31132","Q6tvfSm69Gg","title","Varanasi","CORRECT","","Devotees gather for Ganga aarti at the Dasasvamedh Ghat, Varanasi"
"31879","aceTrBe8lck","title","Punjab","CORRECT","","Preparing for langar at Golden Temple, Punjab"
"32090","kgUIBaVvdIc","title","Delhi","CORRECT","","Salsa Dura being performed by 'Latindian Jam' - Delhi"
"32116","sXagDi-YrlE","prose","Delhi","CORRECT","","Underprivileged and visually challenged children rehearse together - NMF"
"32352","Ja0bwwO4HRc","prose","Delhi","CORRECT","","Never give up-  Borkung Hrangkhawl live performance"
"32864","fl790YObZqc","prose","Ahmedabad","CORRECT","","BJP supporters celebrate the victory of Gujarat Assembly Elections 2017"
"32934","F4_aJOzUMXk","playlist title","Mizoram","CORRECT","","Cheraw Bamboo Dance at Chapchar Kut Festival"
"33624","5kWW5nCv5Ns","title","Panna","CORRECT","","Bird's eye view of Panna town | Madhya Pradesh"
"34751","YG1OSYTo0FQ","title","Kerala","CORRECT","","Kalaripayattu training session - Kerala"
"35514","nDFS4KCumP4","title","Delhi","CORRECT","","Maha navami puja in Delhi - Oriya community celebrates Durga Puja"
"36045","S-ZsfrmqbBU","prose","Delhi","CORRECT","","People enjoying the delicious food of Kulcha King Amritsari Kulche Wale"
"36639","VNWXsiDQ6dM","title","Ladakh","CORRECT","","Sickle Medick (Medicago falcata) and Webb's Rose (Rosa webbiana) in Ladakh"
"36954","0vTFQOr5YWw","playlist title","Delhi","CORRECT","","Traffic congestion outside Red Fort - Sights at crowded traffic stops in Delhi"
"37302","p8JJZU0uevc","title","Jodhpur","CORRECT","","Luxurious rooms of Umaid Bhawan Palace, Jodhpur"
"37409","KoW4H72tUEY","title","Delhi","CORRECT","","Silk sarees on display at shop in Sarojini Nagar | Bridal shopping during Coronavirus Pandemic"
"37498","ApPBD_FKqWU","title","Delhi","CORRECT","","Smooth flow of traffic in New Delhi"
"38029","KbyQWB4usyM","title","Delhi","CORRECT","","Placard making at Anna Hazare's protest in Delhi"
"38729","2XYkyTEZnj0","title","Delhi","CORRECT","","Virtual walk inside crowded market in Delhi || Shopping at Sarojini || Street fashion"
"39257","RNvXzmF7NOQ","title","Himachal Pradesh","CORRECT","","His Holiness the Dalai Lama leads Kalachakra at Tabo Monastery in Himachal"
"39753","wjvmjxayrl0","title","Ladakh","CORRECT","","Black-billed Magpie in Ladakh"
"40136","nuESmcgc4UU","playlist title","Pushkar","CORRECT","","Enjoy rides like ferris wheel, columbus and helicopter at Pushkar Mela"
"42171","edEGIzpMlUw","title","Zanskar","CORRECT","","Camping out at Rangdum in Zanskar"
"42300","RkEjsxdwGkY","title","Delhi","CORRECT","","Steam engine train passes over a bridge in Sarojini Nagar, New Delhi"
"43542","ZjO5h66Cirg","title","Delhi","CORRECT","","Giani's Di Hatti serves unmatchable dessert in crowded Old Delhi"
"44235","BsVQiMGHIrg","playlist title","Delhi","CORRECT","","Communist Party and Election Commission of India's building in New Delhi"
"45066","kU1h6DjqJYc","playlist title","Manipur","CORRECT","","Girl's father chants mantra and performs ritual - Mundan ceremony, Manipur"
"45354","SAPfLLhPfwE","prose","Delhi","CORRECT","","Prince Dipendra Bir Bikram Shah of Nepal visits India in 1994"
"45377","TxeiMm-LF4Q","prose","Uttarakhand","CORRECT","","Jacob's Ladder: Beautiful Flowers in Valley of Flowers"
"45880","vhI8qabzXG8","prose","Amritsar","CORRECT","","Attari village of Punjab, India"
"46216","C_jGRclHXRE","prose","Odisha","CORRECT","","Ditch fishing in eastern India | Bareback men fishing in muddy waters | Interesting style of fishing"
"46580","UTEpG54hRj0","prose","Delhi","CORRECT","","Stark colours: Rose-ringed Parakeet on Silk Cotton tree blossoms"
"47473","2xoLL44tUfs","title","Mumbai","ERROR","""Bombay Boys"" is a film title; actor interview, location unknown","Tara Deshpande -  ""My role in Bombay Boys is quite comic and serious"""
"47911","suN7MtZcX0o","prose","Guwahati","CORRECT","","Girls dancing in Ambubachi mela, Assam"
"48415","p7S1GgJNNe0","playlist title","Jammu","ERROR","Content is Badamwari garden, Srinagar; playlist state applied wrong city","Visit to Badamwari garden on a rainy day in Srinagar"
"48695","T5NElwPjpAQ","playlist title","West Bengal","CORRECT","","Sunset at Bakkhali beach, West Bengal"
"49306","V9Xsi1HtDAk","prose","Faridabad","CORRECT","","Mardana Jhumar, a folk dance of Jharkhand"
"49937","te-czuzgFVY","title","Nagpur","CORRECT","","Daler Mehndi performs 'we will, we will rock you' at Diplomat Nagpur"
"50315","1v4LT1zmyLE","playlist title","Sikkim","CORRECT","","Nectar from heaven - North Sikkim waterfalls"
"50715","r5wReHzcLAg","playlist title","Rajasthan","CORRECT","","Desert Sand dunes of Khuri"
"50792","LLjEGxg-nIE","title","Jodhpur","CORRECT","","Rajasthani Flute player plays Padharo Mhare Desh atop Mehrangarh Fort in Jodhpur"
"53498","2icW7h0CILg","title","Itanagar","CORRECT","","Centre for Buddhist Culture Gompa, Itanagar"
"53586","D2gtwKZ-1a4","playlist title","Arunachal Pradesh","CORRECT","","Arunachali women dance on the banks of the Simang river, liquor bottles in hand"
